,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,sentiment,sentiment:confidence,date,id,query,sentiment_gold,text,text_original
0,623495513,True,golden,10,,3,0.6264,Mon Dec 01 19:30:03 +0000 2014,5.4e+17,#AAPL OR @Apple,"3
not_relevant","['best', 'steve', 'job', 'email', 'ever']",#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx
1,623495514,True,golden,12,,3,0.8129,Mon Dec 01 19:43:51 +0000 2014,5.4e+17,#AAPL OR @Apple,"3
1","['aapl', 'stock', 'mini', 'flash', 'crash', 'today', 'aapl']","RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9"
2,623495515,True,golden,10,,3,1.0,Mon Dec 01 19:50:28 +0000 2014,5.4e+17,#AAPL OR @Apple,3,"['cat', 'chew', 'cord']",My cat only chews @apple cords. Such an #AppleSnob.
3,623495516,True,golden,17,,3,0.5848,Mon Dec 01 20:26:34 +0000 2014,5.4e+17,#AAPL OR @Apple,"3
1","['agre', 'trade', 'extend', 'today', 'pullback', 'good', 'see']","I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see"
4,623495517,False,finalized,3,12/12/14 12:14,3,0.6474,Mon Dec 01 20:29:33 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['nobodi', 'expect', 'spanish', 'inquisit']",Nobody expects the Spanish Inquisition #AAPL
5,623495518,True,golden,13,,3,0.5975,Mon Dec 01 20:30:03 +0000 2014,5.4e+17,#AAPL OR @Apple,5,"['rocket', 'stock', 'buy', 'decemb', 'gain', 'appl']",#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS
6,623495519,True,golden,13,,5,0.8468,Mon Dec 01 20:32:45 +0000 2014,5.4e+17,#AAPL OR @Apple,5,"['top', 'damn', 'right']",Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB
7,623495520,True,golden,9,,5,0.6736,Mon Dec 01 20:34:31 +0000 2014,5.4e+17,#AAPL OR @Apple,"5
3","['cnbctv', 'margin', 'better', 'expect']",CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK
8,623495521,True,golden,15,,3,0.7997,Mon Dec 01 20:36:47 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['appl', 'inc', 'flash', 'crash', 'need', 'know']",Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL
9,623495522,False,finalized,3,12/12/14 0:52,3,0.636,Mon Dec 01 20:45:03 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['present', 'show', 'make', 'world', 'biggest', 'tech', 'compani']",#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd
10,623495523,True,golden,12,,1,1.0,Mon Dec 01 20:46:01 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['wtf', 'batteri', 'one', 'second', 'ago', 'wtf']",WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple
11,623495524,True,golden,9,,3,0.6658,Mon Dec 01 20:47:12 +0000 2014,5.4e+17,#AAPL OR @Apple,5,"['appl', 'watch', 'top', 'search', 'engin', 'list', 'best', 'wearabl', 'tech']",Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch
12,623495525,True,golden,11,,3,0.8381,Mon Dec 01 21:00:15 +0000 2014,5.4e+17,#AAPL OR @Apple,3,"['best', 'design', 'world', 'accord']","The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz"
13,623495526,False,finalized,3,12/12/14 21:38,5,1.0,Mon Dec 01 21:03:32 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['bought', 'store', 'pretti', 'good', 'logo', 'match', 'wait', 'instal']",RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3
14,623495527,True,golden,17,,1,1.0,Mon Dec 01 21:09:50 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['contact', 'sync', 'yosemit', 'io', 'serious', 'screw', 'use', 'much', 'stabl', 'past']",@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync
