,target,id,date,flag,user,text,text_original
1191386,4,1983881707,Sun May 31 14:01:08 PDT 2009,NO_QUERY,DominicScott,"['forgot', 'check', 'dad', 'product', 'quot', 'tiddi', 'bear', 'quot', 'dj', 'amp', 'fro', 'mtv', 'movi', 'award']",don't forgot to check out my dads product &quot;tiddy bear&quot; on dj &amp; the fro after the MTV movie awards 
659446,0,2242148725,Fri Jun 19 11:49:52 PDT 2009,NO_QUERY,classiicjordan,"['tri', 'die', 'ear']",Trying not to die from my ear 
19186,0,1556791054,Sun Apr 19 00:21:43 PDT 2009,NO_QUERY,molliemaria,"['good', 'day', 'bad', 'night', 'know', 'exactli', 'shoot']","Good day, bad night  don't know what to do now exactly..shoot."
365741,0,2048617025,Fri Jun 05 15:29:38 PDT 2009,NO_QUERY,LizzieyTish,"['ok', 'fuck', 'secret', 'life', 'shit', 'hate', 'cri']","ok, fuck this secret life shit,. i hate crying.   "
316206,0,2002356941,Tue Jun 02 03:58:43 PDT 2009,NO_QUERY,kelkraemer,"['back', 'grind', 'wish', 'degre', 'day', 'start', 'like', 'miami']",back to the grind  wishing these 81 degree days started at 7am like they did in miami
35570,0,1565286492,Mon Apr 20 06:23:10 PDT 2009,NO_QUERY,kevinpaquet,"['say', 'friend', 'globe', 'broadband', 'globe', 'mobil', 'fuck', 'cri', 'tear']","says now that we're friends with Globe Broadband, Globe Mobile is fucking up.  (cry) (tears) http://plurk.com/p/p6ibk"
1513270,4,2175335528,Mon Jun 15 00:42:12 PDT 2009,NO_QUERY,fan2band,"['alreadi', 'follow', 'thank', 'either', 'way', 'join', 'team', 'alreadi']",We're already following @VannaBoston! Thanks either way @ericgrimm.  Join the team here if you're not already on it: http://is.gd/12iIk
1407232,4,2055479473,Sat Jun 06 09:23:32 PDT 2009,NO_QUERY,amythefitz,"['rain', 'pour', 'old', 'man', 'snore']","It's raining, it's pouring, the old man is snoring!!! "
1506518,4,2169499876,Sun Jun 14 14:36:18 PDT 2009,NO_QUERY,Well_Hung09,"['follow', 'go', 'til', 'buldg', 'reveal', 'hehe']",2 more followers to go ;) til the buldge is revealed..hehe 
894241,4,1692215804,Sun May 03 19:31:15 PDT 2009,NO_QUERY,TapeLaLaLa,"['please', 'check']",@thelarssan http://tinyurl.com/d6ntd3 pleasee check this out 
623876,0,2229704275,Thu Jun 18 16:05:25 PDT 2009,NO_QUERY,WendyBrandes,"['go', 'post', 'find', 'link', 'redirect']",@ShrimptonCoutur now I just have to go through 1200 posts to find the links that didn't redirect! 
802059,4,1468177904,Tue Apr 07 00:08:19 PDT 2009,NO_QUERY,missenaliz,"['today', 'super', 'fun', 'tri', 'new', 'thing', 'plu', 'futur', 'hangout', 'buddi']",today was super fun and we tried new things plus we have future hangout buddies 
1326729,4,2015292897,Wed Jun 03 04:15:54 PDT 2009,NO_QUERY,s0ulistic,"['thank', 'awesom', 'week']",@triniteddybear thank you  have an awesome week.
482708,0,2180099446,Mon Jun 15 10:00:37 PDT 2009,NO_QUERY,abvint,"['saw', 'ad', 'would', 'love', 'go', 'away', 'weekend']",@LivingResults  saw the ad! would love to go but am away that weekend 
798092,0,2328413331,Thu Jun 25 09:33:04 PDT 2009,NO_QUERY,stamfordtalk,"['ugh', 'sorri', 'happen', 'suck', 'pamper', 'tonight', 'eas', 'bad', 'memori', 'glad', 'hurt']",@stationstops ugh I am so sorry that happened!!! That sucks. Pamper her tonight to ease the bad memory.  glad she wasn't hurt.
322412,0,2004343644,Tue Jun 02 08:03:18 PDT 2009,NO_QUERY,Supremacii,"['seee', 'care', 'never', 'anythin', 'tri', 'make', 'happi', 'pay', 'back', 'hurtin']","@yahyan seee.. You don't care about me  I never do anythin' to you, all I do is try to make you happy and you pay me back by hurtin' me..."
41532,0,1574087599,Tue Apr 21 04:11:45 PDT 2009,NO_QUERY,FlyRice,"['blah', 'woke', 'stupid', 'bad', 'dream']",Blah. Woke up because of a stupid bad dream. 
